id,final_table_scope,source_cells,known_source_group,models,datasets,settings,recommended_release_entry,source_equivalent_legacy_entry,judge_seen_in_source,notes
gemma3_all11_main,"Gemma3 4B/12B/27B, all final-table datasets, all replay modes except separately listed Gemma3 12B I-Q reference cells",194,runs/gemma3_family_all11_replay6_2node_20260422,Gemma3 4B; Gemma3 12B; Gemma3 27B,DynaMath; MathVision; LogicVista; VisualPuzzles; AI2D_TEST; OCRBench; SEEDBench2_Plus; MMMU_DEV_VAL_SINGLE_IMAGE; WeMath; MMBench_DEV_EN_V11; MMStar,I-Q; Q-I; I-I-Q; I-Q-I; I-Q-Q; I-Q-I-Q,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,gpt-4o-mini plus rule/local metrics,Two-node split is in scripts/configs/task_manifests/gemma3_family_all11_replay6_2node_20260422/.
gemma3_12b_iq_reference,Gemma3 12B I-Q cells that were sourced from the later reference image-text run,4,runs/gemma3_12b_reference4_image_text_20260422,Gemma3 12B,MathVision; WeMath; MMBench_DEV_EN_V11; MMStar,I-Q,bash scripts/run_benchmark.sh --matrix-config scripts/configs/matrix_gemma3_12b_reference4_image_text_20260422.yaml --model-config scripts/configs/models.yaml --scheduler gpu_pool,,gpt-4o-mini plus rule/local metrics,Use this only for the listed I-Q reference cells when matching the recorded final-table provenance.
qwen_minicpm_new4_2node,Qwen2.5 and MiniCPM on the four new reasoning/perception benchmarks; includes Qwen2.5-7B cells whose source_group is this later mixed run,128,runs/qwen25vl_minicpm45_all4_reasoning_perception4_2node_20260422,Qwen2.5 3B; Qwen2.5 7B; Qwen2.5 32B; Qwen2.5 72B; MiniCPM-V; MiniCPM-o,MMMU_DEV_VAL_SINGLE_IMAGE; WeMath; MMBench_DEV_EN_V11; MMStar,I-Q; Q-I; I-I-Q; I-Q-I; I-Q-Q; I-Q-I-Q,bash scripts/run_qwen25vl_minicpm45_all4_reasoning_perception4_2nodes_20260422.sh <node_rank> [gpu_ids],,gpt-4o-mini plus rule/local metrics,This is the maintained two-node mixed-model entrypoint. It also covers MiniCPM WeMath cells and 8 Qwen2.5-7B new-four cells in the current final_table.csv provenance; use final_table_cell_sources.csv for the exact 7B split.
qwen25_7b_new4_old_entry,Qwen2.5-7B subset of the four new reasoning/perception benchmarks where final_table.csv selected the older Qwen-only run,16,runs/qwen25vl_all4_reasoning_perception4_new_entry_20260421,Qwen2.5 7B,MMMU_DEV_VAL_SINGLE_IMAGE; WeMath; MMBench_DEV_EN_V11; MMStar,I-Q; Q-I; I-I-Q; I-Q-I; I-Q-Q; I-Q-I-Q,bash scripts/run_qwen25vl_all4_reasoning_perception4_new_entry_4nodes_20260421.sh <node_rank> [gpu_ids],,gpt-4o-mini plus rule/local metrics,"This is not all Qwen2.5-7B new-four cells. Old-source cells are MMMU all six settings, MMBench I-Q/I-Q-Q, MMStar I-Q/I-Q-I-Q/I-Q-Q/Q-I, and WeMath I-Q/I-Q-I/I-Q-I-Q/Q-I; the remaining 8 cells use the later mixed run. See final_table_cell_sources.csv."
qwen25_logicvista_visualpuzzles_clean_reval,Qwen2.5 family on LogicVista and VisualPuzzles,48,runs/standard/20260409/collect_qwen25_minicpm_logicvista_visualpuzzles_infer_for_clean_reval,Qwen2.5 3B; Qwen2.5 7B; Qwen2.5 32B; Qwen2.5 72B,LogicVista; VisualPuzzles,I-Q; Q-I; I-I-Q; I-Q-I; I-Q-Q; I-Q-I-Q,bash scripts/run_benchmark.sh --matrix-config scripts/configs/matrix_qwen25vl_all4_reasoning4_new_entry_20260421.yaml --model-config scripts/configs/models.yaml --scheduler gpu_pool --datasets LogicVista VisualPuzzles,,rule/local-or-unknown,The exact source was a clean re-eval collection directory. The maintained matrix is the release-equivalent route for the same model/dataset/replay surface.
qwen25_small_legacy_newsets,"Qwen2.5 3B/7B legacy standard rows on AI2D, MathVision, OCRBench, SEEDBench2_Plus, excluding Q-I missing-text-image rows",39,runs/standard/20260306/qwen2_qwen25_small_newsets_last1_2node16tasks_default_prompt,Qwen2.5 3B; Qwen2.5 7B,AI2D_TEST; MathVision; OCRBench; SEEDBench2_Plus,I-Q; I-I-Q; I-Q-I; I-Q-Q; I-Q-I-Q,bash scripts_legacy/run_standard_qwen2_qwen25_small_newsets_last1_default_2node16workers.sh,bash scripts_legacy/run_standard_qwen2_qwen25_small_newsets_last1_default_2node16workers.sh,gpt-4o plus rule/local metrics,The release backfill manifest only contains the final-table holes from this family. Use the legacy script for full historical sweep parity.
qwen25_small_qi_missing,Qwen2.5 3B/7B Q-I text-image legacy rows,7,runs/standard/20260313/missing_small_text_image_default_prompt; runs/standard/20260312/missing_small_text_image_default_prompt,Qwen2.5 3B; Qwen2.5 7B,AI2D_TEST; MathVision; OCRBench; SEEDBench2_Plus,Q-I,bash scripts_legacy/run_missing_qwen2_qwen25_small_text_image_default_1node8workers.sh,bash scripts_legacy/run_missing_qwen2_qwen25_small_text_image_default_1node8workers.sh,gpt-4o plus rule/local metrics,"Qwen2.5-3B MathVision Q-I is a provenance caveat: final_table.csv has 22.24, but the aligned artifact set has no exact metric file."
qwen25_72b_legacy_newsets,"Qwen2.5 72B legacy standard rows on AI2D, MathVision, OCRBench, SEEDBench2_Plus",20,runs/standard/20260306/qwen25_72b_newsets_last1_6node12workers_tp4_default_prompt; runs/standard/20260307/qwen25_72b_newsets_last1_6node12workers_tp4_default_prompt,Qwen2.5 72B,AI2D_TEST; MathVision; OCRBench; SEEDBench2_Plus,I-Q; I-I-Q; I-Q-I; I-Q-Q; I-Q-I-Q,bash scripts_legacy/run_standard_qwen25_72b_newsets_last1_tp4_6node_dataset_default.sh,bash scripts_legacy/run_standard_qwen25_72b_newsets_last1_tp4_6node_dataset_default.sh,gpt-4o plus rule/local metrics,Historical run used tp=4 and bsz=1 style settings.
qwen25_72b_qi_missing,Qwen2.5 72B Q-I text-image legacy rows,3,runs/standard/20260313/missing_qwen25_72b_text_image_default_prompt,Qwen2.5 72B,AI2D_TEST; OCRBench; SEEDBench2_Plus,Q-I,bash scripts_legacy/run_missing_qwen25_72b_text_image_default_1node2workers_tp4.sh,bash scripts_legacy/run_missing_qwen25_72b_text_image_default_1node2workers_tp4.sh,gpt-4o plus rule/local metrics,MathVision Q-I is listed separately as a manual override provenance caveat.
qwen25_32b_legacy_newsets,"Qwen2.5 32B legacy standard rows on AI2D, DynaMath, MathVision, OCRBench, SEEDBench2_Plus, excluding separately listed Q-I/I-Q-Q/single-source rows",16,runs/standard/20260306/qwen25_32b_newsets_last1_3node12workers_tp2_default_prompt,Qwen2.5 32B,AI2D_TEST; DynaMath; MathVision; OCRBench; SEEDBench2_Plus,I-Q; I-I-Q; I-Q-I; I-Q-I-Q,bash scripts_legacy/run_standard_qwen25_32b_newsets_last1_tp2_3node_dataset_default.sh,bash scripts_legacy/run_standard_qwen25_32b_newsets_last1_tp2_3node_dataset_default.sh,gpt-4o plus rule/local metrics,Historical run used tp=2. MathVision I-Q-I-Q is a manual override caveat listed separately.
qwen25_32b_qi_missing,Qwen2.5 32B Q-I text-image legacy rows excluding MathVision caveat,4,runs/standard/20260313/missing_qwen25_32b_text_image_default_prompt,Qwen2.5 32B,AI2D_TEST; DynaMath; OCRBench; SEEDBench2_Plus,Q-I,bash scripts_legacy/run_missing_qwen25_32b_text_image_default_1node4workers_tp2.sh,bash scripts_legacy/run_missing_qwen25_32b_text_image_default_1node4workers_tp2.sh,gpt-4o plus rule/local metrics,"MathVision Q-I is a near-match provenance caveat: final_table.csv has 38.65, best aligned artifact has 38.7829."
