model,dataset,setting,table_target,source_score,provenance_status,source_group,metric_path,judge_or_eval,recommended_release_entry,source_equivalent_legacy_entry,note
Gemma3 12B,AI2D_TEST,I-I-Q,81.25,81.25,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_AI2D_TEST_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,AI2D_TEST,I-Q,80.25,80.24611398963731,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_AI2D_TEST_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,AI2D_TEST,I-Q-I,81.02,81.02331606217616,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_image/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_AI2D_TEST_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,AI2D_TEST,I-Q-I-Q,82.22,82.22150259067358,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_AI2D_TEST_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,AI2D_TEST,I-Q-Q,82.12,82.12435233160622,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_AI2D_TEST_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,AI2D_TEST,Q-I,74.77,74.77331606217616,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/text_image/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_AI2D_TEST_acc.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,DynaMath,I-I-Q,32.32,32.315369261477045,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_DynaMath_gpt-4o-mini_score.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,DynaMath,I-Q,30.76,30.758483033932137,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_DynaMath_gpt-4o-mini_score.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,DynaMath,I-Q-I,36.85,36.846307385229544,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_image/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_DynaMath_gpt-4o-mini_score.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
Gemma3 12B,DynaMath,I-Q-I-Q,37.43,37.4251497005988,exact_or_rounding,runs/gemma3_family_all11_replay6_2node_20260422,runs/gemma3_family_all11_replay6_2node_20260422/default/image_text_image_text/baseline/gemma3_12b/Gemma3-12B-Replay/Gemma3-12B-Replay_DynaMath_gpt-4o-mini_score.csv,gpt-4o-mini,bash scripts/run_gemma3_family_all11_replay6_2nodes_20260422.sh <node_rank> [gpu_ids],,deep_score_scan_exact
